freq,unit,sex,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,THS_PER,F,AT	20.1 e	23.9 e	30.7 	29.6 e	35.2 	37.7 	39.3 	36.5 b	42.7 	46.3 
A,THS_PER,F,BA	: 	: 	: 	: 	: 	: 	: 	3.1 bu	4.8 e	4.7 e
A,THS_PER,F,BE	29.2 	28.5 	27.3 	35.8 b	41.1 	41.2 e	42.0 	53.4 b	51.8 	53.0 
A,THS_PER,F,BG	23.6 e	27.3 e	26.7 e	28.1 e	31.0 e	28.5 	29.1 	30.5 b	32.2 b	36.8 
A,THS_PER,F,CH	29.6 e	30.5 	34.1 	33.9 	33.9 	42.5 e	41.6 e	41.7 b	42.3 	45.2 
A,THS_PER,F,CY	1.6 e	2.0 e	2.4 e	2.0 e	2.4 e	2.2 e	2.3 e	3.2 be	4.4 e	5.9 e
A,THS_PER,F,CZ	18.3 e	17.4 e	18.9 e	19.2 	20.6 	21.9 e	22.6 	24.2 b	25.3 	27.0 
A,THS_PER,F,DE	234.5 	238.8 	255.5 	257.6 	272.7 	283.2 	339.6 b	390.5 b	401.2 	399.6 
A,THS_PER,F,DK	22.1 e	24.8 e	28.2 be	28.3 be	28.7 e	32.0 e	34.9 e	37.1 be	37.7 e	40.0 be
A,THS_PER,F,EE	4.8 e	6.0 e	6.8 e	7.0 e	8.0 	9.1 e	9.2 e	9.1 be	11.0 e	12.5 e
A,THS_PER,F,EL	12.3 e	9.6 e	11.1 e	11.6 e	12.8 e	15.6 e	21.0 e	19.7 b	20.9 	19.9 
A,THS_PER,F,ES	102.8 e	102.4 e	106.0 e	108.3 e	120.8 e	139.1 e	141.8 e	156.5 bd	159.5 d	183.0 d
A,THS_PER,F,EU27_2020	1030.3 e	1079.9 e	1176.9 e	1232.8 e	1301.9 e	1405.1 e	1562.5 e	1713.9 be	1776.2 e	1902.3 e
A,THS_PER,F,FI	31.8 	34.7 	33.8 	33.9 	33.7 	36.8 	44.7 	45.0 b	47.2 	44.6 
A,THS_PER,F,FR	143.9 b	143.7 	170.6 	187.9 	204.2 	222.9 	244.5 	258.8 bd	231.2 de	271.5 d
A,THS_PER,F,HR	6.3 u	7.6 u	7.2 u	7.8 u	10.9 e	11.7 e	11.7 e	12.6 be	9.3 u	12.2 be
A,THS_PER,F,HU	16.8 	18.4 e	20.9 e	14.3 e	14.3 e	16.1 	21.1 e	25.4 be	26.4 e	31.1 e
A,THS_PER,F,IE	20.0 e	19.2 e	22.5 e	23.0 be	20.0 e	24.2 e	26.8 e	31.2 be	35.7 e	40.6 e
A,THS_PER,F,IS	1.5 e	1.9 e	1.9 e	1.6 e	1.5 e	1.7 e	1.9 be	1.9 be	1.8 e	1.9 e
A,THS_PER,F,IT	103.1 e	108.0 e	116.9 e	124.7 e	123.1 be	123.5 e	127.9 e	136.7 be	143.5 e	152.3 e
A,THS_PER,F,LT	3.9 u	5.7 e	8.6 e	9.6 e	9.7 e	10.2 e	10.5 e	12.4 be	14.2 e	14.1 e
A,THS_PER,F,LU	1.5 e	1.8 be	1.7 e	1.6 e	2.3 e	2.8 e	3.7 e	4.0 be	5.0 e	5.9 e
A,THS_PER,F,LV	6.1 e	6.9 e	6.6 e	6.7 e	4.8 e	7.0 e	7.8 e	7.5 be	9.0 e	9.4 e
A,THS_PER,F,ME	: u	: u	: u	1.7 u	1.3 u	: u	: u	: 	: 	: 
A,THS_PER,F,MK	3.1 e	2.8 e	3.6 e	3.3 e	3.0 e	3.8 e	4.3 e	: 	: 	: 
A,THS_PER,F,MT	1.0 e	1.3 e	1.0 e	1.0 e	2.1 e	1.3 e	1.2 e	2.8 be	2.6 e	1.9 u
A,THS_PER,F,NL	52.0 	57.5 	64.3 	70.6 	74.5 	87.2 	92.9 	108.8 b	133.1 e	127.1 
A,THS_PER,F,NO	19.7 e	22.2 e	19.3 e	22.8 e	27.0 e	26.0 e	26.4 e	28.6 be	29.2 	33.4 e
A,THS_PER,F,PL	58.2 e	57.9 e	63.2 e	67.1 	68.0 	79.0 be	90.4 e	97.6 be	107.9 	142.1 
A,THS_PER,F,PT	21.0 e	23.3 e	24.8 e	23.6 e	26.1 e	30.7 e	39.4 e	44.7 b	42.6 	44.0 
A,THS_PER,F,RO	30.1 	44.0 e	44.1 	47.7 	45.1 e	46.4 e	53.2 e	52.8 be	54.3 e	51.3 e
A,THS_PER,F,RS	7.6 be	9.9 e	13.0 e	14.3 e	13.2 e	16.1 e	19.9 e	22.2 b	23.0 e	27.2 be
A,THS_PER,F,SE	53.0 	55.6 	64.7 	69.6 	72.4 b	73.8 e	80.9 e	88.5 b	102.9 	104.3 e
A,THS_PER,F,SI	4.4 e	5.3 e	5.6 	5.9 e	6.5 e	7.5 e	7.3 e	7.7 be	7.9 e	6.4 
A,THS_PER,F,SK	8.0 e	8.2 e	7.1 e	10.3 e	10.8 e	13.5 e	16.9 e	16.5 be	16.7 e	19.3 e
A,THS_PER,F,TR	44.8 be	45.7 e	43.7 e	46.6 e	51.6 e	48.4 e	62.2 e	69.3 b	92.8 	98.8 
A,THS_PER,F,UK	251.6 e	283.5 e	278.4 e	292.2 e	299.0 e	313.5 e	: 	: 	: 	: 
